reference,generated_summary
Cathy will pick up her glasses tonight at 10.,Cathy left her sunglasses at Broke's place. She
"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working. ","Petra is sleepy and needs to sleep, but she can't stand how boring the office is. Ezgi is working. Petra is sleeping with her eyes open, but the fat woman from HR would"
Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.,"Nick would like to meet up with Jane for a drink, but she doesn't want to do it because she's not that desperate."
"Julia knew Tim was gay, while Adam and Nate didn't. ","Adam's friend saw Tim with a guy. Julia and Nate didn't know he was gay, because he didn't tell them about it."
Lilly will be late. Gabriel will order pasta with salmon and basil for her.,"Lilly is going to be late, so Gabriel and Lilly will order the food for Lilly and herself."
"Celine is not at home, but she will call Cara before visiting her.",Cara will drop by Celine's place in the evening. She will call Celine if she
Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,Craig needs Derek's help with his computer. Derek will help him in 20 minutes. 
Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.,Abigail's smog alert app is showing that the norms have been exceeded by 30% today. Emma needs to
Paul will buy red roses following Cindy's advice.,Cindy doesn't want to buy red roses for
Jenny has left her credit car at the Mary's shop.,Jenny left her credit card at Mary's shop. She will pick it up from the
It's Tom's birthday. Lara and Gary will come to Tom's place about 5 pm to prepare everything before Tom gets back home at 5:30. Gary has already paid for the cake - Lara will pick it up and she will also get the balloons. ,Lara will come to Tom's birthday party at 5 pm. She will pick up the cake and get the balloons. Gary has already paid for the cake.
Paul is late for a meeting with Laura and she refuses to wait any longer.,"Laura has been waiting for Paul for 15 minutes. Paul is close to the Mac, but she is not going to wait any more."
Salma and Hugh like cat memes.,Hugh and Salma are
"Todays results show that Matt and Oliver got into Stanford University, Peter did not. ","Matt and Oliver got into Stanford. Peter didn't get into Stanford, so he has to look for a new university. He will send his documents asap."
English classes were cancelled because Smith called in sick and replacement could not be found.,"Jake, Nadia and Vanessa don"
"Brandon has lost his credit card and blocked it in the bank. It will take some time before he gets a new one, and he needs money. Luke is broke, but Ian will lend Brandon some money.",Brandon lost his credit card. He blocked it in the bank but it will take time before he gets a new one
Patrycja and Inez enjoyed the Italian evening. Gosia chose a great place. Alicja hasn't been to the new restaurant. They all want a Korean evening on Wednesday in two weeks time.,"Inez, Alicja, Patrycja, Gosia and Alicja went to a new restaurant for a Food Evening. They will go again on Wednesday."
Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,Catherine will call Ana when she wakes up. Ana and Catherine will go
Edson is booking his ticket now.,"Joyce, Michael and Ed"
Jane wants to leave at 4.30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late. She will wait for Steven at the main entrance.,Jane and Steven will meet at 4:30 instead of 5. They will go to the main entrance instead of the new road.
Suzanne is at work and is having a break now. Morgan invites Suzanne to a concert of Maroon 5 which takes place next week at the Hulu Theatre at Madison Square Garden. Suzzanne agrees.,Suzanne is taking a well-deserved break from work. Morgan wants to take her to a concert next week. Maroon 5 is playing at the Hulu Theater at Madison Square Garden.
The last one Julia read was Die again from 2014. There's going to be a meeting with Tess organized by the city library. ,"Julia hasn't read ""Die again"" yet. The city library is organizing a meeting with Tess. Julia will check it out"
Ali left his wallet at Mohammad's place. Mohammad'll bring it to uni tomorrow.,Ali left his wallet at Mohammad's place yesterday. Mohammad found it. Ali will bring it to uni
Linda and Laura are going to an Italian restaurant tomorrow.,. Linda and Laura will go to an Italian restaurant tonight. Linda will
Anna organises a birthday's party on the 6th of November at 19:30.,Anna would like to invite everybody to her birthday party on 6th of November at 1930. 
"Mia is going out after work tonight with her female friends. If she wants, Elliot will come and pick her up.",Mia and Elliot will go out for a girls night out after work tonight. They will grab some drinks. Elliot will pick Mia up.
Jayden explains Brennan why she doesn't want to be pregnant.,Jayden doesn't want to have children now. She wants to wait for a man to give her the sex she wants and not get pregnant. She doesn't need kids.
USA won last night. England is playing against Croatia tomorrow at 2.,Gulab forgot to check
John forgot his wallet. He wants Ela to give it to him outside in 10 minutes.,John is coming in 10 minutes and wants Ela to give him his walle outside. Ela is busy talking to her
Mark told his sister that Mary is doing an online job. Mark's sister is contacting people to confirm it. Mark thinks she's jealous. Mary hates Mark's sister.,Mary told Mark's sister that she is doing an online job. Mark was proud of it and wanted to make her jealous. Mary doesn't like it.
Fiona wants to prepare dinner for Chris. She is thinking of Tina's tart. She will help her make it.,"Fiona is preparing a dinner for Chris. Tina will help her prepare a tart. Fiona bought the crust. She tried to make the filling once, but she finished with scrambled eggs."
Annette is sick. James is going to the Jesus bar. Oli couldn't find anyone near the bar.,"Clare, Annette, Peadar, Oli, James, Helen and Anne are going to Jesus bar from 9.15. Annette is at home sick."
Ryan and Sebastian are worried about the political situation in Ukraine.,Ryan and Sebastian have a bad feeling about the situation in Ukraine. 
Finn and Zadie are going to Elephant and Castle tomorrow at 2. They will meet at the main entrance.,Finn and Zadie will go to the Elephant and Castle shopping centre tomorrow. They will meet at 2 o'clock at the main entrance.
Jacob hasn't listened to the song Harry sent him 3 days ago. Jacob will do it later tonight and let Harry know what he thinks.,Jacob hasn't listened to the song Harry sent him 3 days ago. He will listen to it later tonight. Harry wants to know what Jacob thinks about
Ray is locked in the room from the outside and he has to pee. Max's roommate will come and let him out.,Someone locked Ray out of Max's room. Ray has to go to the bathroom. Max will ask his roommates to open the door for Ray.
"Kim is about to tell mom that Harry bought a new sofa, and he needs grey pillows.",Kim will buy Harry a grey sofa pillows as a gift for his mom. Harry has just bought a new sofa and needs
"Josh wants to buy a tablet and doesn't know which brand he should choose. According to Brian, other brands are better than Apple and he can get a Samsung tablet cheaper. Josh will call Brian after work to talk about it.","Josh needs to buy an iPad. Brian recommends Samsung, Xiaomi, Sony and Samsung. Josh will call Brian after work to talk about buying one."
"Nathalie, Olafur and Zoe are planning the New Year's Eve. Nathalie wants something classy. Olafur doesn't like opera. They want to go to the Breakfast at Tiffany's party in Soho.",Nathalie and Olafur are going to Soho for New Year's Eve. They will go to a breakfast at Tiffany's party.
Frank tries to encourage Andy to learn for the tomorrow's quiz.,Andy is watching Arrow B. He has a small quiz tomorrow. He will study for it tomorrow. Frank doesn't want him to study. 
Kim needs to get some fresh fish in Warsaw. Kim will ask at restaurants about their source. Kim is planning something special but won't share any details with Margot for now.,"Kim is looking for a place where she can get some fresh ramal fish in Warsaw. Margot suggests the marketplace at Polna street. Kim has already tried Polna, but she didn't find any fish market. She will grill it for a special occasion."
Tom will meet Ben in the Oval Room at 2pm and tells him to bring the papers. ,Tom and Ben will meet at 2pm in the Oval Room. They will take no prisoners and shoot
Ashleigh got the job.,Ashleigh got a job. She
Danna has a boring weekend and is watching TV. Reed is in bed. He has a free day tomorrow.,"Danna is angry because she called 5-8 of her friends and they aren't around or are busy. Reed doesn't have a TV subscription, so he can't watch TV."
Alivia has been taciturn lately. She was trying to write her thesis. She can't focus on writing. She'll try to follow Antonio's advice to start writing without overthinking.,Alivia has been working on her thesis lately. She finds it difficult to find research materials and to sit down and write a thesis. Antonio advises her to stop thinking about it.
Maddie will buy a white bread and apples on John's request.,Maddie is in Asda
"Elliot can't talk to Jordan now, he's busy. He'll call him back at 8 pm. Jordan is going to Brad's funeral. He had liver cancer.","Elliot will call Jordan tonight at 8 pm. Jordan is going to a funeral of his colleague, Brad, who had a liver cancer."
Flo cannot get an appointment at the salon until the 6th. Flo worries she's going to be gray. Flo will have to get a touch-up kit at Tesco.,Flo can't get into the salon until the 6th as it
"Rob is doing shopping at the grocery store. Ann ordered him to buy a cucumber, some tomatoes, bananas and apples.",Rob is at the grocery store. Ann can't pick up her phone as she's at a meeting. Rob will buy some food for supper and lunch tomorrow.
It's been very long since Melany last had sex. Marvin made an inappropriate joke about it.,Melany doesn't remember when she got laid
"Eric, Samantha and Noah's professor is commenting a recent scandal on the news. ",Eric sends Samantha and Noah a video of a professor talking about the recent scandal on the news
"According to Jacky, David did the right thing taking the blame. They will talk when Jack comes back home.",Jacky and David will talk later. Jacky will call David when she gets home
Rick and Helen are in Cancun. They're flying to Havana in two days. Chris and Rick will talk on Skype at 3 PM in Mexico.,Rick is in Cancun for the last two days before flying to Havana. Rick and Chris will skype tomorrow at 3 pm.
"Ying sent a photo of his 10 years challenge to Helen, Norma and Zazu.",Ying's 10 years
Daniel will see Missy after 6 for drinks.,Missy gets out of work at 6
Adelle has to clean the hamster cage after school.,Pete will clean the hamster
Maya will buy 5 packs of earplugs for Randolph at the pharmacy.,Maya will buy 5 pairs of earplugs for Randolph
David is coming home for Christmas next week.  Jane has no idea what to buy their father so David is going to order an ipad online.,Jane will get an ipad for her dad for Christmas. David will order it online and have it shipped home. Jane will let David know when he'll get here.
"Isabella is grateful to Betty for sharing the information about her work yesterday. Isabella offers Betty her company, should Betty want to do something together.",Betty shared her work with Isabella yesterday. Is
"Hollie says hello to Amy, but Amy is busy working and can't chat right now.",Amy will get back to
Alex will go swimming toghether with Huda in two hours. ,Huda is going swimming in
"Janet, Nicole, Alison, Arlene, Leslie, Ros, Eric and Sue are all complaining about Donald Trump and his absence at the ceremony. ","Janet, Janet, Alison, Cheryl, Nicole, Linda, Leslie, Eric, Roz, Arlene, Sue and Leslie are angry about Donald Trump not attending the inauguration ceremony."
Rashi is confused by too many career choices. Teacher advises him to choose something he has passion for and what interests him.,Rashi is confused about his career options. Teacher advises Rashi to choose a career based on what truly interests him. Rashi will remember this advice.
Corbin reported to the department in charge of school violence that his friend has been beaten.,Corbin wants to report school violence to the department in charge of school violence. Dimitri will call Corbin to help his friend who is a victim of the violence.
"Marta needs help with the PC. On Joel's advice, she will contact Cynthia or Elena as they might know someone. ","Marta is looking for a technician to fix PC's. Joel doesn't know anyone, but Cynthia or Elena might know someone. "
Ann doesn't know what she should give to her dad as a birthday gift. He's turning 50. Fiona tries to help her and suggests a paintball match.,Fiona will help Ann prepare a surprise birthday party for her dad's 50th birthday. They will go to a team play with the whole family.
Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,"Fatima is worried about Alene. Jenson is not happy. Fatima and Jenson's friend, Alene, is depressed. Alene won't go to the doctor."
"Bob is going to help Lisa clean the house, he will clean the bathroom. ","Lisa wants Bob to clean the bathroom. Bob doesn't want to do it, because he helped make the house dirty. Lisa will tell Bob when he finishes."
luke and martial want to help the team and play despite their injuries. They will meet at carrington and go to the coach's office.,Martial and luke will let Jose know that they are available for team selection tomorrow. They will meet at carrington and go to Jose's office very early.
Emily and Julie wish Merry Christmas to each other.,Emily and Julie are sending Christmas greetings to Julie and each other.
Ricky's new neighbours are nice but loud. They own a parakeet that makes a lot of noise throughout the night.,Frederick and Ricky have a new neighbours. Ricky's parakeet is squawking
Sandra and Brenda used to work together in the clothes factory 25 years ago. Sandra still lives in Kings Norton. Brenda lives in Stoke now. Her husband Bill died 5 years ago. They will meet in Birmingham for a lunch next Saturday about 11. They want to organize a reunion for the Lister's girls. ,"Brenda Riley and Sandra Taylor used to work together in the clothes factory 25 years ago. Sandra lives in Kings Norton with her husband, she has 4 grandchildren now, ages 2, 4, 9 and 15. Brenda's husband Bill died 5 years ago and she has only one grandchild, she's 7. Brenda and Sandra will organise a reunion for the Lister's girls. They will meet in Birmingham next Saturday."
"Joan and John are going to watch ""A Star is Born"" on Thursday around 8 p.m.","Joan and John will go to see ""A Star is Born"" on Thursday around 8pm.    John"
Donna will pay George a visit tonight to discuss a personal matter.,George wants to meet with Donna to discuss a delicate matter. They will meet in a coffee shop or somewhere. George wants Donna to come to his place tonight.
Louis finishes the conversation with Fabian because his mother is calling.,Fabian and Louis are
Irene will take Crystal's son shopping for clothes.,"Irene will take her little boy shopping with her aunt, because he got so big he doesn't fit his clothes anymore. She will buy him something."
Tony sent a photo of his cat to Amy and Lucas.,"Amy, Lucas and Tony"
"Matt got a ticket for Dawid Podsiadlo's concert. Thomas is going, too.",Matt and Thomas are going to Dawid Podsiadlo. They will see each other the day before. Thomas will ask Maria if she wants to come.
Some girls had to undress because they had been pushed into the pool.,Chris pushed some girls into the pool because they were soaking wet and had to und
Mico and Jeff will go to the village party. Jeff will drive.,"Jeff, Lia and Mico are going to the village party. Lia is too tired to go, but Mico will go. Jeff and Jim will go with them."
Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet. ,Matthew will couch the game on Saturday. Paul will do it because his plans changed.
Freddy will pick Luke up at about 3:15 pm.,Luke's train arrives at 3 pm. Jacob is at work till 5.
Ryan and Jack are going to the casting for a dance show.,Jack is going to the casting. He will meet Ryan at the casting and they will go
Joanne is going to go back home to France for the holidays. She's going to cheer her mum up because her parents separated a few months ago. Evelyn offers Joanne to spend Christmas together if she brings her mum over here. ,"Evelyn will stay at home and rest for the holidays. Joanne is going back home to France. She always liked spending Christmas with her family, but now her parents separated."
Raul's had a bad night and day. ,Raul had a bad night last night and a bad day today. Jen had to go to a friend yesterday and she stayed with her for the night. Raul had weird dreams of his uncle.
Angie's having an appointment with Doctor McCormick in an hour. She has strong abdominal pain.,"Angie has severe stomach pain. Ms. Quinn has signed Angie up for an appointment with Dr. McCormick. Angie's doctor, Doctor Cartman, is not in today."
Kelvin and the other class members will discuss the time for their CAT 2 and share their decision with Naheeda soon.,Kelvin and Naheeda will talk with the other class members to decide when to sit for their CAT 2. They will have it during the statistics
"Karen wants something cheaper than sushi for lunch. Linda, Ronnie and Karen will get takeout pasta boxes to the park.","Ronnie, Linda and Karen are going to a pasta place for lunch. They will wait for Amanda to check her Facebook page. "
Marty thinks she has sprained her ankle. Marty wants to go to the doctor tomorrow. Christine will pick up Marcel from school today. Tomorrow Christine will take Marcel to school and Marty to the doctor. Marty will call the school. Christine and Marty will meet around 4. ,Christine will pick up Marcel from school and take him to the doctor tomorrow morning. Marty will call the school. They will have pizza night.
Peyton is expecting Cameron to bring the video game. Cameron will probably be out for another week.,Peyton wants Cameron to bring a video game for him. Cameron is not coming home for another week. Peyton wants him to deliver the game through the
Alicja's job interview is tomorrow. She will inform Willyx how it goes.,Alicja has a job interview tomorrow
"Paul forgot about his physiotherapy and he will schedule a new appointment. Emma will be home after midnight, so Paul will prepare some food for her.",Paul forgot about his physiotherapy. Emma will be home after midnight. Paul will prepare some food for her
Sean overslept again.,Sean overslept.
Chris and Tom are planning a meeting at Chris' place. Chris has a Jacuzzi in his garden. Chris has WiFi and can bring his TV outside. Tom has a low internet limit whenever he's outside of Ireland.,Chris and Tom will go to a jacuzzi in their garden. They will bring swimming trunks and a TV to watch TV from their living room.
Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,Cindy will call Ela and tell her Harry needs to talk to her urgently. Harry and Ela had an other fight.
"Mike didn't have time to take the dog for a walk, so Adam will take it with him.",Mike didn't take the dog
Murphy is going to Poanań on Tuesday and coming back on the same day in the afternoon.,Murphy is going to Poana on Tuesday.
Gaia has 6 exams this semestre. One is very difficult.,Gaia has a lot of work at the university. She has 6 exams this
Mr. Williams invites Ms. Blair for a coffee. They will go to her favourite coffee place near the square in a side alley at 2 p.m.,Ms. Blair and Mr. Williams will go for a coffee at 2 p.m. to Ms. Blair's favourite coffee place
Serena's skin condition is fine now and she doesn't have to take medication. Tina has a similar condition but takes medication on a daily basis. Tina can call Serena if she has questions. ,"Jeff hasn't been to the doctor lately, but his skin condition is fine. Tina has the same skin condition as Jeff and she takes meds on the daily."
"Kristina, Estefania and Jannette are watching America's Top Model.","Kristina, Jannette and Estefania are watching America's top model Tyra Banks on TV. Jann"
Daniel is going to Bologna today. He has to transfer there for a further flight. He will stay at the airport for two hours. Simone will visit Marco in December.,Daniel is coming to Bologna this fall. He will stay at the airport for 2 hours only. Simone will come in December for a weekend.
Mike will call Dale back in 2 hours.,Mike will call Dale back in 2
Timmy had a bad day at work. Timmy will bring some wine to Gemma's bbq at the weekend.,Timmy had a bad day at work. Gemma is organising a bbq at the weekend. Timmy will bring some wine and food.
Pat will arrive at around 9 pm. Bart will open the door and work in the morning from home. ,"Pat will come in the evening, around 9pm. Bart will open the door for Pat. Pat will work in the morning from home."
Erin will meet Ashley in the restaurant for the interview. ,Ashley is at the camp. Erin will come to the camp to do the interview. They will meet at the pool or restaurant.
"Maria, Kate, Tommy and Sam are going to a conference. Tommy will use Prezi instead of Power Point. He has a Prezi subscription for $10 a month.",Tommy and Kate are preparing a power point for the conference. Tommy will have a prezi for $10 a month for academics.
"Maxwell pays Jeanice for 8 hours of babysitting and is grateful he found her. His son argued with a friend at school, and got agressive when the teacher reacted. Jeanice hasn't noticed if he has acted strangely recently. Maxwell and Jeanice can grab a coffe some time to discuss all the issues. ","Maxwell and Jeanice will meet tonight for 8 hours. Marcus has a problem at school. He argued with a friend but they didn't fight, but he was aggressive towards a teacher. His sister is taking things from him. Maxwell wants to talk to him about it."
"Mike, Tom and Ben will go for a beer.","Mike, Tom and Ben"
Leah met a creepy guy last night at a poetry reading. He knew she speaks German and named all the friends who went to a past event with her. She didn't tell him any of this. He googled her before. Leah had liked a post mentioning him 2 weeks earlier. ,Leah went to the poetry reading last night and met a creepy guy. He wentogled her out because he thought she had a crush on him. He tried to walk her home.
Nicky has just left Sam's place. Her phone is off.,Nicky is at Sam
Ken is trying to play a prank on Greg.,Ken wants his money back from Greg because his account was hacked. Ken is the
"Tom arrived safely, but without his luggage.","Tom will send Alexander a message when he will be in a taxi. He arrived safely, but without l"
The university is throwing a carnival party for kids.,The university organised a carnival party for children. There are 5 bouncy castles and a huge bouncy dragon in the hall
Ian is looking for his green folder. Sophie hasn't seen it but maybe Alex will know.,Sophie doesn't know where Ian's green folder is. Ian was sure
Simon will talk to Adrian in 5 minutes.,Simon will be free at 5
Jen is about to break up with her boyfriend. Jane knew from the beginning that they were not a good match. Jane is going to support Jen.,Jen is fed up with her ex-boyfriend and wants him to move out. Jane advises her to cut her losses and move on.
Poppy is not going to be home tonight but she won't reveal the reason to Dean. She won't be making dinner so Dean has to get something on his way home.,Poppy is not preparing anything for dinner tonight. Dean will grab something on the way back home. Poppy won't be home tonight. She will see Dean tomorrow. 
Gab wants to meet Kat in real life. Kat doesn't like Gab's insisting so she won't to talk to him at all.,Kat is busy at the moment so she can't meet up with Gab for a drink. Kat doesn't want to meet strange men from the internet.
Agatha is proud of herself because she has finished her presentation in Economics. She is very interested in Economics.,Agatha's presentation is ready. She used recent research to prepare it. She's taking an economics
"Imagine Dragons have a concert at ABC Theatre on 12 July. Sally wants to go with Tim. She bought tickets, they cost 70.",Sally and Tim are going to see Imagine Dragons at the ABC Theatre on 12 July. Sally bought the tickets for the standing area for 70.
Andrew has discovered an issue with Bez's car in her absence but it seems to be ok. He will also take care of her plants until she is back on the 21st. ,"Andrew wanted to take Bez's car and go to Krizingen but it showed ""low brake fluid level"". Kate took his car today, just to check, and everything was fine. Bez is home on the 21st in the evening."
Laura is going to visit her parents next Saturday. Keith might make a lasagne for her. Laura's mom has a birthday gift for her. ,Laura hasn't visited her parents yet as she is busy with a big project. Next Saturday she will visit them next Saturday. Keith will tell her mother about the birthday gift.
Pegah is in class till 15:00. She will work from 17:00 till around 21:30. She will be back at 22:00. Miriam invited people over and wants Pegah to come. Pegah will have a cup of tea with her when she gets back. Miriam will save Pegah some wine.,Pegah will be back at 22:00. Miriam invited a few people over to have a cup of tea with Pegah and Miriam.
Robert will pick up floating balloons for Tom's birthday.,"Pam has to go shopping, cook and clean, so she doesn't have time to pick up the balloons for Tom's birthday. Robert will"
